Name,TSM,LCV,LCB (500),LCG,MCV,MCB,MCG,SCV,SCB,SCG,Micro Cap,REIT,Int'l Dev,EM,Total Int'l,Pacific,Europe,Int'l Value,Int'l Small,LTT,ITT,STT,TBM,STB,TBILL,IT Corp.,Wellington,Wellesley,Windsor,COMM,GOLD,Energy,Health,Precious Metals,Windsor II,ST Munis,IT Munis,LT Munis,ST Invest. Grade,Hi-Yield Corp. Bd,TIPS,Global Bd,Int'l Bd,Extended Mkt,Total World Mkt,Momentum Factor,Quality Factor,Min Vol Factor,Value Factor,Dividend Growth,High Dividends,LT STRIPS,Inflation
Symbol,VTSMX,VIVAX,VFINX,VIGRX,VMVIX,VIMSX,VMGIX,VISVX,NAESX,VISGX,BRSIX,VGSIX,VDVIX,VEIEX,VGTSX,VPACX,VEURX,EFV,VFSVX,VUSTX,VFITX,VFISX,VBMFX,VBISX,VUSXX,VCIT,VWELX,VWINX,VWNDX,GSG,IAU,VGENX,VGHCX,FSAGX,VWNFX,VWSTX,VWITX,VWLTX,VFSTX,VWEHX,VIPSX,BNDW,VTIBX,VEXMX,VTWSX,MTUM,QUAL,USMV,VLUE,VDAIX,VHDYX,EDV,CPI-U
1937,-34.91636352,-33.45387784,-34.8227502,-34.2994225,-39.97534755,-37.92295989,-35.4796417,-44.291785,-43.83769798,-43.07941143,,,,,,,,,,4.265508573,3.419067486,1.508321156,3.050497154,1.558999299,0.212622275,,-35.40864,,,,,,,,,,,,,,,,,,,,,,,,,5.675833517,2.857142857
1938,28.26698897,23.04340523,30.57578835,31.99853722,28.36513434,33.4009163,36.08258807,37.24840683,38.77211298,41.43960119,,,,,,,,,,5.392589369,4.215615403,2.016163344,3.755815477,2.067095028,-0.012466715,,19.14834,,,,,,,,,,,,,,,,,,,,,,,,,7.477553842,-2.777777778
1939,2.243232223,2.15870358,-0.517638909,6.149554906,-5.851951114,-5.798834743,-3.594586602,-6.933311481,-3.333092876,-0.275748012,,,,,,,,,,4.452525989,3.228043442,1.197200683,2.809206373,1.247723499,-0.052447609,,10.30021,,,,,,,,,,,,,,,,,,,,,,,,,6.129604419,0
1940,-7.265813586,-6.355366238,-9.897366194,-8.875528227,-6.738427145,-9.239703042,-11.31407449,-5.547228978,-5.361304962,-5.697417724,,,,,,,,,,6.080646301,3.510361621,1.215699868,3.027049426,1.266231919,-0.064939492,,0.1439,,,,,,,,,,,,,,,,,,,,,,,,,8.858116711,0.714285714
1941,-10.20445847,-9.276904801,-11.70950667,-13.56855202,-7.540871344,-8.518528403,-9.787376761,-7.664662917,-9.047289851,-11.87162442,,,,,,,,,,-4.818999676,0.165366654,0.639107259,0.311047202,0.689351446,-0.007469525,,-3.90826,,,,,,,,,,,,,,,,,,,,,,,,,-8.093375016,9.929078014
1942,16.59101185,16.11368023,19.9799935,14.28527348,28.18803415,23.32963171,18.29248765,22.8216424,20.75588569,16.9182731,,,,,,,,,,2.90822966,2.636202396,1.132823252,2.34048742,1.183313928,0.247701804,,16.62094,,,,,,,,,,,,,,,,,,,,,,,,,4.038194277,9.032258065
1943,27.77423783,29.79404639,25.45831206,21.35071941,40.51346226,34.52656741,28.9919949,53.17465907,43.83605353,33.91729559,,,,,,,,,,1.266745126,2.691164822,1.222155732,2.408035621,1.272691007,0.290280591,,24.8815,,,,,,,,,,,,,,,,,,,,,,,,,0.645159502,2.958579882
1944,21.09949841,20.01702989,19.36736195,15.68495615,30.70635037,26.17597149,21.36181077,39.70947702,35.5898949,30.85840887,,,,,,,,,,2.278862587,3.12739459,1.276412401,2.763333319,1.326974764,0.290280591,,19.36652,,,,,,,,,,,,,,,,,,,,,,,,,1.743854847,2.298850575
1945,38.08628448,35.94622802,36.11838805,31.54146916,54.32187343,50.03906193,45.09075121,64.29700675,61.01454034,57.5605142,,,,,,,,,,9.195878748,3.274904911,1.299244403,2.882000133,1.349818165,0.290280591,,23.12546,,,,,,,,,,,,,,,,,,,,,,,,,15.83039148,2.247191011
1946,-6.36614739,-4.268950528,-8.149482082,-6.952195139,-6.162259505,-6.210544271,-4.637905314,-7.712048193,-8.216324172,-7.565815793,,,,,,,,,,-0.89228285,1.6901978,0.754197381,1.533856288,0.804499027,0.290280591,,-2.37933,,,,,,,,,,,,,,,,,,,,,,,,,-2.660296133,18.13186813
1947,3.733140857,4.69959274,5.485470023,2.305739889,0.040948299,-0.560225139,-0.874898884,3.380263707,1.496568263,-0.863830051,,,,,,,,,,-3.216544655,1.052247014,0.732849043,1.034134109,0.783140031,0.478228726,,-3.46426,,,,,,,,,,,,,,,,,,,,,,,,,-6.798056344,8.837209302
1948,2.275033454,3.056281271,5.218075492,2.49649201,1.619675653,1.050077409,0.884617984,-2.281954209,-2.838642594,-3.090251327,,,,,,,,,,3.496717871,2.552909718,1.282293821,2.317513733,1.33285912,0.935581142,,3.87071,,,,,,,,,,,,,,,,,,,,,,,,,4.089470493,2.991452991
1949,19.86593536,16.18721473,18.43896777,21.71883453,23.73061911,23.8561996,24.02590451,19.96053296,21.33859912,22.67173284,,,,,,,,,,4.424735289,2.822166077,2.130568849,2.69767632,2.181557651,1.01614613,,16.50726,,,,,,,,,,,,,,,,,,,,,,,,,6.997512307,-2.074688797
1950,30.19803493,31.43552136,31.27224058,23.89548231,32.54399374,29.29291164,22.72682855,43.85551802,35.72685642,25.8774594,,,,,,,,,,-0.091584231,-0.083346771,0.168221719,0.057534757,0.218230816,1.086677955,,12.77273,,,,,,,,,,,,,,,,,,,,,,,,,0.148707488,5.93220339
1951,20.62014559,22.12055889,23.79509633,19.70300174,20.98830269,20.99189322,21.21183769,12.860359,14.90035909,17.28553925,,,,,,,,,,-2.796706892,1.564031181,1.636762138,1.641119976,1.687504405,1.39444211,,12.36175,,,,,,,,,,,,,,,,,,,,,,,,,-6.757492106,6
1952,13.53339562,13.45267479,17.99779305,13.80254935,13.39998901,12.48542836,11.05907314,11.81185833,11.2105885,10.32184323,,,,,,,,,,0.688500791,1.651987574,1.957120406,1.775741546,2.008022613,1.591572552,,11.03859,,,,,,,,,,,,,,,,,,,,,,,,,0.136372355,0.754716981
1953,0.557103337,-0.484773412,-1.08274923,2.200094512,-0.647280087,0.59680358,2.080703723,-3.09950777,-1.596077333,0.832069077,,,,,,,,,,3.371388594,5.40113281,4.218057682,5.163287006,4.270088664,1.814221315,,1.88783,,,,,,,,,,,,,,,,,,,,,,,,,0.867401925,0.74906367
1954,50.42097406,49.03397299,52.06025787,47.89662146,58.155719,53.25944242,45.88872933,60.06937016,55.05093821,50.61152377,,,,,,,,,,3.001683409,1.742806,1.906574456,1.823824608,1.957451428,0.875158521,,31.0061,,,,,,,,,,,,,,,,,,,,,,,,,4.683721427,-0.743494424
1955,25.60824975,23.3450057,31.22326247,26.92640039,17.9352208,18.14210374,18.09971732,20.77673174,20.71033546,19.64942452,,,,,,,,,,-0.538721837,0.115177147,0.420618974,0.252627556,0.470754081,1.578775216,,15.53619,,,,,,,,,,,,,,,,,,,,,,,,,-1.203818714,0.374531835
1956,8.400053568,11.34986387,6.334838705,6.397886205,6.536259115,9.463277593,10.49741742,8.653601462,8.388007056,9.094933559,,,,,,,,,,-4.33407249,-0.536849853,1.309621993,-0.056251761,1.360200936,2.487281997,,4.43304,,,,,,,,,,,,,,,,,,,,,,,,,-7.459942389,2.985074627
1957,-10.01691202,-9.011429524,-10.84248253,-8.650877525,-8.950586321,-10.28543413,-8.67838224,-13.72987892,-13.19753505,-11.55260876,,,,,,,,,,5.923535715,6.109610326,4.630739949,5.798126021,4.682976963,3.176422493,,-4.29728,,,,,,,-4.670161071,,,,,,,,,,,,,,,,,,5.435287854,2.898550725
1958,44.6834548,42.20538157,42.94836045,40.75218217,50.60619498,50.42813525,47.91180079,60.72143622,58.4594557,53.56979338,,,,,,,,,,-7.020491959,-2.548492108,0.803703237,-1.698420819,0.8540296,1.697118907,,28.46863,,,,,,,42.1571421,,,,,,,,,,,,,,,,,,-10.77843772,1.76056338
1959,12.66777259,7.134249754,11.79672801,12.77755573,10.01873412,10.43455814,9.9572598,18.30216322,18.50571194,18.24378924,,,,,,,,,,-3.34941482,-0.582804132,1.549659663,-0.031690981,1.600358444,3.201774593,,8.85848,,16.42847,,,,,30.56695941,,,,,,,,,,,,,,,,,,-5.15930037,1.730103806
1960,0.821863796,3.907025875,0.312858748,-2.398943057,4.057201392,6.472853575,10.52809734,-2.140274294,-0.923198137,2.401436207,,,,,,,,,,12.80283791,10.72617071,8.211109248,10.17172196,8.265133765,2.986356523,,5.17582,,11.1551,,,,,9.775692964,,,,,,,,,,,,,,,,,,14.52990569,1.360544218
1961,26.79430514,28.26589792,26.70100601,26.25553076,28.14560934,26.7526147,25.40137379,30.03098504,29.06600616,28.7659325,,,,,,,,,,0.844339118,2.597235798,2.895946982,2.710826303,2.947317899,2.194877443,,18.95466,,29.6491,,,,,10.52168148,,,,,,,,,,,,,,,,,,-0.783392006,0.67114094
1962,-9.688678568,-5.494728158,-8.791321532,-11.08701275,-6.856921933,-9.944021686,-11.43126827,-11.20891577,-13.25699797,-14.73691964,,,,,,,,,,6.452709422,5.458268444,4.251869172,5.230623159,4.303917035,2.714112208,,-5.18695,,-25.04707,,,,,-6.986062554,,,,,,,,,,,,,,,,,,7.881096741,1.333333333
